16:36:33.552 INFO  dcs.group8.models.ResourceManager 48 <init> - The resource manager rm@node312 was created
16:36:33.553 INFO  dcs.group8.models.ResourceManager 48 <init> - The resource manager rm@node312 was created
16:37:00.756 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 4 to a node at cluster@10.141.3.31
16:37:00.789 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 8 to a node at cluster@10.141.3.31
16:37:00.822 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 12 to a node at cluster@10.141.3.31
16:37:00.856 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 16 to a node at cluster@10.141.3.31
16:37:00.888 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 20 to a node at cluster@10.141.3.31
16:37:00.921 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 24 to a node at cluster@10.141.3.31
16:37:00.954 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 28 to a node at cluster@10.141.3.31
16:37:00.987 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 32 to a node at cluster@10.141.3.31
16:37:01.019 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 36 to a node at cluster@10.141.3.31
16:37:01.050 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 40 to a node at cluster@10.141.3.31
16:37:22.825 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:4 was completed
16:37:22.825 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
16:37:22.900 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:12 was completed
16:37:22.900 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
16:37:23.151 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:32 was completed
16:37:23.151 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
16:37:23.333 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:20 was completed
16:37:23.333 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
16:37:23.412 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:16 was completed
16:37:23.412 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
16:37:23.474 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:24 was completed
16:37:23.474 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
16:37:23.526 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:36 was completed
16:37:23.526 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
