10:35:56.009 INFO  dcs.group8.models.ResourceManager 48 <init> - The resource manager rm@node311 was created
10:35:56.010 INFO  dcs.group8.models.ResourceManager 48 <init> - The resource manager rm@node311 was created
10:36:15.588 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 432e86bc-1662-4aa1-a3d4-61ae0f97baa6 to a node at cluster@10.141.3.32
10:36:21.411 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:432e86bc-1662-4aa1-a3d4-61ae0f97baa6 was completed
10:36:21.411 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:36:31.008 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: a1aea43e-0472-4a4e-af17-d60c63c076a7 to a node at cluster@10.141.3.32
10:36:40.892 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:a1aea43e-0472-4a4e-af17-d60c63c076a7 was completed
10:36:40.892 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:36:46.227 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 5f90992a-1099-4b5d-8232-f022f8ab1fe5 to a node at cluster@10.141.3.32
10:36:53.948 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:5f90992a-1099-4b5d-8232-f022f8ab1fe5 was completed
10:36:53.948 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:37:16.695 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: dfe5e3c7-96fa-4fb3-b933-c9996775516d to a node at cluster@10.141.3.32
10:37:27.334 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:dfe5e3c7-96fa-4fb3-b933-c9996775516d was completed
10:37:27.334 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:37:41.920 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 15cd43f9-ef8a-4a06-8ad9-219ab5a4c446 to a node at cluster@10.141.3.32
10:37:48.884 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:15cd43f9-ef8a-4a06-8ad9-219ab5a4c446 was completed
10:37:48.884 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:38:02.098 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 46efde5c-1b84-4362-81f7-e7d868dd10fc to a node at cluster@10.141.3.32
10:38:13.011 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:46efde5c-1b84-4362-81f7-e7d868dd10fc was completed
10:38:13.012 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:38:17.229 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: fcf49d00-57ef-45e3-8c58-cec354aaa093 to a node at cluster@10.141.3.32
10:38:23.618 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:fcf49d00-57ef-45e3-8c58-cec354aaa093 was completed
10:38:23.619 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:38:37.401 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 506dfe74-db5d-47f3-b7ab-ea6469e91a72 to a node at cluster@10.141.3.32
10:38:43.839 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:506dfe74-db5d-47f3-b7ab-ea6469e91a72 was completed
10:38:43.839 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:38:57.573 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: c038a93f-de24-497d-9beb-4c47348b1604 to a node at cluster@10.141.3.32
10:39:07.325 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:c038a93f-de24-497d-9beb-4c47348b1604 was completed
10:39:07.325 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:39:28.076 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: a01d88ec-1125-4d1a-8357-f5dc196103be to a node at cluster@10.141.3.32
10:39:36.200 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:a01d88ec-1125-4d1a-8357-f5dc196103be was completed
10:39:36.200 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:39:43.208 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 1bd4d74e-718f-4de6-b058-35a3188886bc to a node at cluster@10.141.3.32
10:39:50.237 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:1bd4d74e-718f-4de6-b058-35a3188886bc was completed
10:39:50.238 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:40:08.432 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 30253a40-97f1-4881-bd87-bf0ac263ef5b to a node at cluster@10.141.3.32
10:40:22.764 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:30253a40-97f1-4881-bd87-bf0ac263ef5b was completed
10:40:22.765 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:40:28.601 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: c57d4207-8253-4108-a961-13b52a917365 to a node at cluster@10.141.3.32
10:40:36.941 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:c57d4207-8253-4108-a961-13b52a917365 was completed
10:40:36.941 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:41:09.154 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 57f52878-79b8-48bb-90be-286809e317b7 to a node at cluster@10.141.3.32
10:41:17.072 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:57f52878-79b8-48bb-90be-286809e317b7 was completed
10:41:17.072 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:41:24.558 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 7c8eff5d-1e10-499f-bccf-b246f21a1efb to a node at cluster@10.141.3.32
10:41:33.977 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:7c8eff5d-1e10-499f-bccf-b246f21a1efb was completed
10:41:33.978 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
